# ✅ L3 带登录态全路由扫描（149 路由）
# commit: 27a5525d
# exit: 0
# duration_ms: 321662
# command: cd '/Users/yanghy/Documents/New project/ai-content/frontend' && CONSOLE_SCAN_LOCAL_ACCEPTANCE_LOGIN=1 CONSOLE_SCAN_REQUIRE_SYSTEM_FOOTER=1 CONSOLE_SCAN_SESSION_TOKEN=Ro9rgntPnOeQYhR8-7Y0k_3U7Xm4bN9Rh0Uu_ZQy9B4 CONSOLE_SCAN_FRONTEND_URL=http://127.0.0.1:3010 node scripts/console-quality-browser-scan.mjs
# 完整命令输出（未截断）：

[scan] acceptance database: file:/Users/yanghy/Library/Application Support/ai-content-desktop/kaypal-ai.sqlite (source: running(desktop userData))
[1/155] /
[2/155] /accounts-matrix
[3/155] /agent
[4/155] /agent-workbench
[5/155] /approvals
[6/155] /apps
[7/155] /apps/ai-employee
[8/155] /apps/auto-acquisition
[9/155] /apps/detail
[10/155] /artifacts
[11/155] /auto-acquisition/create
[12/155] /boss-recruit
[13/155] /broadcast
[14/155] /commercial-readiness
[15/155] /compliance
[16/155] /compliance-check
[17/155] /content
[18/155] /content/ai-image-gen
[19/155] /content/ai-video-gen
[20/155] /content/articles
[21/155] /content/collection-center
[22/155] /content/image-gen
[23/155] /content/optimization
[24/155] /content/wechat-official-assistant
[25/155] /content/workspace
[26/155] /content/xiaohongshu
[27/155] /content/xiaohongshu-assistant
[28/155] /copy-compare
[29/155] /crm
[30/155] /crm-closer
[31/155] /crm-connectors
[32/155] /crm-import
[33/155] /crm-import/flow
[34/155] /crm/closer
[35/155] /crm/connectors
[36/155] /crm/customer
[37/155] /crm/import
[38/155] /customer
[39/155] /device-center
[40/155] /distribution
[41/155] /distribution/accounts
[42/155] /distribution/articles
[43/155] /distribution/compliance
[44/155] /distribution/logs
[45/155] /distribution/publish-article
[46/155] /distribution/publish-video
[47/155] /distribution/scrape
[48/155] /distribution/tasks
[49/155] /effects
[50/155] /engagement
[51/155] /engagement/channel-messages
[52/155] /engagement/comment-acquisition
[53/155] /engagement/comment-insights
[54/155] /engagement/customer-service
[55/155] /engagement/customers
[56/155] /engagement/douyin-comments
[57/155] /engagement/douyin-messages
[58/155] /engagement/records
[59/155] /engagement/rules
[60/155] /engagement/wechat
[61/155] /engagement/wechat-channel-comments
[62/155] /engagement/wechat-groups
[63/155] /engagement/wechat-moments
[64/155] /engagement/wechat-moments/detail
[65/155] /engagement/wechat/chat-history
[66/155] /engagement/wechat/contact-add
[67/155] /engagement/wechat/contacts
[68/155] /engagement/wechat/friend-accept
[69/155] /engagement/wechat/mass-send
[70/155] /engagement/wechat/moments-publish
[71/155] /engagement/wechat/plans
[72/155] /engagement/wecom-assistant
[73/155] /growth
[74/155] /growth/account-health
[75/155] /growth/acquisition
[76/155] /growth/leads
[77/155] /growth/leads/detail
[78/155] /growth/reports
[79/155] /growth/rpa-workbench
[80/155] /growth/strategies
[81/155] /growth/workflows
[82/155] /intelligence
[83/155] /intelligence/accounts
[84/155] /intelligence/collaboration
[85/155] /intelligence/costs
[86/155] /intelligence/inbox
[87/155] /intelligence/inbox-processing
[88/155] /intelligence/industries
[89/155] /intelligence/leads
[90/155] /intelligence/monitor-new
[91/155] /intelligence/monitors
[92/155] /intelligence/redfox
[93/155] /intelligence/report-new
[94/155] /intelligence/reports
[95/155] /intelligence/risks
[96/155] /intelligence/rules
[97/155] /intelligence/search
[98/155] /intelligence/skills
[99/155] /intelligence/trends
[100/155] /intelligence/viral
[101/155] /knowledge
[102/155] /knowledge-base
[103/155] /knowledge-base/new
[104/155] /mai-ui
[105/155] /message
[106/155] /mine
[107/155] /mobile-capabilities
[108/155] /platforms
[109/155] /platforms/edit
[110/155] /platforms/new
[111/155] /poi
[112/155] /release-notes
[113/155] /reply
[114/155] /risk-confirm
[115/155] /savings
[116/155] /savings/orders
[117/155] /savings/wallet
[118/155] /schedules
[119/155] /schedules/edit
[120/155] /settings
[121/155] /settings/account
[122/155] /settings/appearance
[123/155] /settings/data
[124/155] /settings/desktop
[125/155] /settings/integrations
[126/155] /settings/legal
[127/155] /settings/memory
[128/155] /settings/notifications
[129/155] /solutions
[130/155] /solutions/configure
[131/155] /solutions/run
[132/155] /strategies
[133/155] /strategies/edit
[134/155] /strategies/new
[135/155] /styles
[136/155] /styles/edit
[137/155] /styles/new
[138/155] /task-evidence
[139/155] /tasks
[140/155] /tasks/confirmations
[141/155] /tasks/evidence
[142/155] /tasks/records
[143/155] /tasks/runs
[144/155] /templates
[145/155] /templates/edit
[146/155] /templates/new
[147/155] /today
[148/155] /video-download
[149/155] /video-generation
[150/155] /video/product-cut
[151/155] /video/release-plans
[152/155] /viral-analysis
[153/155] /war-room
[154/155] /wecom-assistant
[155/155] /wecom-crm
Console quality browser scan
Routes: 155
Passed: 155
Failed: 0
Console errors: 0
Console warnings: 0
Request failures: 0
System footer: 155/155
Report: /Users/yanghy/Documents/New project/ai-content/docs/acceptance-evidence-2026-09-02/console-quality-browser-scan-2026-09-02T11-57-53-263Z.md

